2017-12-04 00:43:06.369 GMT+08:00 Mon |    Debug | T0000008508 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01534 | [download | thread - 0 | downloader - 34357696] download end: [task:1, job:0] (9771442_jad_ba_0080_lgt_landingboat_v004_lps/masterLayer/v005/fullres/IDObj_55_56_57/jad_ba_0080_lgt_landingboat_masterLayer_v005_lps.IDObj_55_56_57.1010.exr)
2017-12-04 00:43:06.999 GMT+08:00 Mon |    Debug | T0000004984 | ..\src\aspera_manager.cpp:AsperaManager::exit:00433 | [manager] exit begin
2017-12-04 00:43:06.999 GMT+08:00 Mon |    Debug | T0000004984 | ..\src\aspera_manager.cpp:AsperaManager::clear:00441 | [manager] clear begin
2017-12-04 00:43:06.999 GMT+08:00 Mon |    Debug | T0000008508 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01542 | [manager] do download thread - 0 end
2017-12-04 00:43:06.999 GMT+08:00 Mon |    Debug | T0000001736 | ..\src\aspera_manager.cpp:AsperaManager::do_upload:01361 | [manager] do upload thread - 0 end
2017-12-04 00:43:06.999 GMT+08:00 Mon |    Debug | T0000008508 | ..\src\aspera_manager.cpp:download_thread_run:00213 | download thread - 0 run end
2017-12-04 00:43:07.000 GMT+08:00 Mon |    Debug | T0000001736 | ..\src\aspera_manager.cpp:upload_thread_run:00199 | upload thread - 0 run end
2017-12-04 00:43:07.285 GMT+08:00 Mon |    Debug | T0000004848 | ..\src\aspera_manager.cpp:AsperaManager::do_check:01190 | [manager] do check thread - 0 end
2017-12-04 00:43:07.285 GMT+08:00 Mon |    Debug | T0000004848 | ..\src\aspera_manager.cpp:check_thread_run:00185 | check thread - 0 run end
2017-12-04 00:43:10.299 GMT+08:00 Mon |    Debug | T0000004984 | ..\src\aspera_manager.cpp:AsperaManager::clear:00487 | [manager] wait threads exit begin
2017-12-04 00:43:10.299 GMT+08:00 Mon |    Debug | T0000004984 | ..\src\aspera_manager.cpp:AsperaManager::clear:00489 | [manager] wait threads exit end
2017-12-04 00:43:10.299 GMT+08:00 Mon |    Debug | T0000004984 | ..\src\aspera_manager.cpp:AsperaManager::clear:00491 | [manager] release aspera manager begin
2017-12-04 00:43:10.375 GMT+08:00 Mon |    Debug | T0000004984 | ..\src\aspera_manager.cpp:AsperaManager::clear:00500 | [manager] release aspera manager end
2017-12-04 00:43:10.375 GMT+08:00 Mon |    Debug | T0000004984 | ..\src\aspera_manager.cpp:AsperaManager::clear:00504 | [manager] clear end
2017-12-04 00:43:10.375 GMT+08:00 Mon |    Debug | T0000004984 | ..\src\aspera_manager.cpp:AsperaManager::exit:00435 | [manager] exit end
2017-12-04 06:49:20.195 GMT+08:00 Mon |    Debug | T0000003996 | ..\src\aspera_manager.cpp:AsperaManager::init:00268 | [manager] init begin
2017-12-04 06:49:20.217 GMT+08:00 Mon |    Debug | T0000003996 | ..\src\aspera_manager.cpp:AsperaManager::init:00349 | [manager] max uploader count: 1, max downloader count: 1
2017-12-04 06:49:20.226 GMT+08:00 Mon |    Debug | T0000001316 | ..\src\aspera_manager.cpp:check_thread_run:00182 | check thread - 0 run begin
2017-12-04 06:49:20.226 GMT+08:00 Mon |    Debug | T0000001316 | ..\src\aspera_manager.cpp:AsperaManager::do_check:01140 | [manager] do check thread - 0 begin
2017-12-04 06:49:20.236 GMT+08:00 Mon |    Debug | T0000001244 | ..\src\aspera_manager.cpp:upload_thread_run:00196 | upload thread - 0 run begin
2017-12-04 06:49:20.237 GMT+08:00 Mon |    Debug | T0000001244 | ..\src\aspera_manager.cpp:AsperaManager::do_upload:01247 | [manager] do upload thread - 0 begin
2017-12-04 06:49:20.246 GMT+08:00 Mon |    Debug | T0000003996 | ..\src\aspera_manager.cpp:AsperaManager::init:00419 | [manager] init success
2017-12-04 06:49:20.246 GMT+08:00 Mon |    Debug | T0000006508 | ..\src\aspera_manager.cpp:download_thread_run:00210 | download thread - 0 run begin
2017-12-04 06:49:20.247 GMT+08:00 Mon |    Debug | T0000003996 | ..\src\aspera_manager.cpp:AsperaManager::push_download_task:00820 | push download [task:1, job:0] success
2017-12-04 06:49:20.247 GMT+08:00 Mon |    Debug | T0000006508 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01415 | [manager] do download thread - 0 begin
2017-12-04 06:49:20.247 GMT+08:00 Mon |    Debug | T0000006508 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01438 | [download | thread - 0 | downloader - 7487816] task info: [storage:34316, user:1813119, task:1] (9771291_jad_ba_0090_lgt_landingboat_v007_lps/masterLayer/v008/fullres/opacity/jad_ba_0090_lgt_landingboat_masterLayer_v008_lps.opacity.1139.exr) -> (Y:/jade_jad-3888/ba/0090/elements/3d/lgt_landingboat/masterLayer/v008/fullres/opacity/jad_ba_0090_lgt_landingboat_masterLayer_v008_lps.opacity.1139.exr)
2017-12-04 06:49:20.248 GMT+08:00 Mon |    Debug | T0000006508 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01453 | [download | thread - 0 | downloader - 7487816] download begin: [task:1, job:0] (9771291_jad_ba_0090_lgt_landingboat_v007_lps/masterLayer/v008/fullres/opacity/jad_ba_0090_lgt_landingboat_masterLayer_v008_lps.opacity.1139.exr)
2017-12-04 06:49:20.258 GMT+08:00 Mon |    Debug | T0000006508 | ..\src\aspera_session.cpp:IAsperaSession::send_connect_request:00184 | [downloader - 7487816] send connect request, max transmit speed: 1048576KB/S
2017-12-04 06:49:24.498 GMT+08:00 Mon |    Debug | T0000006508 | ..\src\aspera_session.cpp:IAsperaSession::send_connect_request:00209 | [downloader - 7487816] create aspera session with server [101.201.149.28] success: {8d011d26-ca2b-43fb-863c-8f5ea1379d90}
2017-12-04 06:49:24.498 GMT+08:00 Mon |    Debug | T0000008928 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00088 | [downloader - 7487816] send connect request
2017-12-04 06:49:25.077 GMT+08:00 Mon |    Debug | T0000008928 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00080 | [downloader - 7487816] recv connect response: session name {8d011d26-ca2b-43fb-863c-8f5ea1379d90}
2017-12-04 06:49:25.078 GMT+08:00 Mon |    Debug | T0000008928 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00081 | [downloader - 7487816] target transfer rate modified to 125000KB/S
2017-12-04 06:49:26.378 GMT+08:00 Mon |    Debug | T0000008928 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00080 | [downloader - 7487816] recv connect response: session name {8d011d26-ca2b-43fb-863c-8f5ea1379d90}
2017-12-04 06:49:26.378 GMT+08:00 Mon |    Debug | T0000008928 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00081 | [downloader - 7487816] target transfer rate modified to 125000KB/S
2017-12-04 06:49:26.690 GMT+08:00 Mon |    Debug | T0000008928 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00136 | [downloader - 7487816] file transmit begin notify: notify file name (Y:/jade_jad-3888/ba/0090/elements/3d/lgt_landingboat/masterLayer/v008/fullres/opacity/jad_ba_0090_lgt_landingboat_masterLayer_v008_lps.opacity.1139.exr)
2017-12-04 06:49:26.816 GMT+08:00 Mon |    Debug | T0000008928 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00182 | [downloader - 7487816] file transmit done notify: notify file name (Y:/jade_jad-3888/ba/0090/elements/3d/lgt_landingboat/masterLayer/v008/fullres/opacity/jad_ba_0090_lgt_landingboat_masterLayer_v008_lps.opacity.1139.exr)
2017-12-04 06:49:26.816 GMT+08:00 Mon |    Debug | T0000008928 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00183 | [downloader - 7487816] [task:1] download file success (Y:/jade_jad-3888/ba/0090/elements/3d/lgt_landingboat/masterLayer/v008/fullres/opacity/jad_ba_0090_lgt_landingboat_masterLayer_v008_lps.opacity.1139.exr)
2017-12-04 06:49:27.097 GMT+08:00 Mon |    Debug | T0000008928 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00125 | [downloader - 7487816] recv disconnect response: session name {8d011d26-ca2b-43fb-863c-8f5ea1379d90}
2017-12-04 06:49:27.097 GMT+08:00 Mon |    Debug | T0000006508 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01524 | [download | thread - 0 | downloader - 7487816] download success: [task:1, job:0] (9771291_jad_ba_0090_lgt_landingboat_v007_lps/masterLayer/v008/fullres/opacity/jad_ba_0090_lgt_landingboat_masterLayer_v008_lps.opacity.1139.exr), file count (1)
2017-12-04 06:49:27.098 GMT+08:00 Mon |    Debug | T0000006508 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01534 | [download | thread - 0 | downloader - 7487816] download end: [task:1, job:0] (9771291_jad_ba_0090_lgt_landingboat_v007_lps/masterLayer/v008/fullres/opacity/jad_ba_0090_lgt_landingboat_masterLayer_v008_lps.opacity.1139.exr)
2017-12-04 06:49:27.248 GMT+08:00 Mon |    Debug | T0000003996 | ..\src\aspera_manager.cpp:AsperaManager::exit:00433 | [manager] exit begin
2017-12-04 06:49:27.248 GMT+08:00 Mon |    Debug | T0000003996 | ..\src\aspera_manager.cpp:AsperaManager::clear:00441 | [manager] clear begin
2017-12-04 06:49:27.248 GMT+08:00 Mon |    Debug | T0000006508 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01542 | [manager] do download thread - 0 end
2017-12-04 06:49:27.248 GMT+08:00 Mon |    Debug | T0000001244 | ..\src\aspera_manager.cpp:AsperaManager::do_upload:01361 | [manager] do upload thread - 0 end
2017-12-04 06:49:27.249 GMT+08:00 Mon |    Debug | T0000006508 | ..\src\aspera_manager.cpp:download_thread_run:00213 | download thread - 0 run end
2017-12-04 06:49:27.249 GMT+08:00 Mon |    Debug | T0000001244 | ..\src\aspera_manager.cpp:upload_thread_run:00199 | upload thread - 0 run end
2017-12-04 06:49:27.576 GMT+08:00 Mon |    Debug | T0000001316 | ..\src\aspera_manager.cpp:AsperaManager::do_check:01190 | [manager] do check thread - 0 end
2017-12-04 06:49:27.576 GMT+08:00 Mon |    Debug | T0000001316 | ..\src\aspera_manager.cpp:check_thread_run:00185 | check thread - 0 run end
2017-12-04 06:49:30.626 GMT+08:00 Mon |    Debug | T0000003996 | ..\src\aspera_manager.cpp:AsperaManager::clear:00487 | [manager] wait threads exit begin
2017-12-04 06:49:30.626 GMT+08:00 Mon |    Debug | T0000003996 | ..\src\aspera_manager.cpp:AsperaManager::clear:00489 | [manager] wait threads exit end
2017-12-04 06:49:30.626 GMT+08:00 Mon |    Debug | T0000003996 | ..\src\aspera_manager.cpp:AsperaManager::clear:00491 | [manager] release aspera manager begin
2017-12-04 06:49:31.107 GMT+08:00 Mon |    Debug | T0000003996 | ..\src\aspera_manager.cpp:AsperaManager::clear:00500 | [manager] release aspera manager end
2017-12-04 06:49:31.107 GMT+08:00 Mon |    Debug | T0000003996 | ..\src\aspera_manager.cpp:AsperaManager::clear:00504 | [manager] clear end
2017-12-04 06:49:31.107 GMT+08:00 Mon |    Debug | T0000003996 | ..\src\aspera_manager.cpp:AsperaManager::exit:00435 | [manager] exit end
2017-12-06 10:30:04.312 GMT+08:00 Wed |    Debug | T0000022928 | ..\src\aspera_manager.cpp:AsperaManager::init:00268 | [manager] init begin
2017-12-06 10:30:04.343 GMT+08:00 Wed |    Debug | T0000022928 | ..\src\aspera_manager.cpp:AsperaManager::init:00349 | [manager] max uploader count: 1, max downloader count: 1
2017-12-06 10:30:04.346 GMT+08:00 Wed |    Debug | T0000011864 | ..\src\aspera_manager.cpp:check_thread_run:00182 | check thread - 0 run begin
2017-12-06 10:30:04.346 GMT+08:00 Wed |    Debug | T0000006012 | ..\src\aspera_manager.cpp:upload_thread_run:00196 | upload thread - 0 run begin
